T kappa_11 kappa_12 kappa_13 kappa_21 kappa_22 kappa_23 kappa_31 kappa_32 kappa_33
300    0.2829524628E+00    0.5645585485E-04   -0.2243524030E-04    0.5645585485E-04    0.1340990251E+00   -0.1990207039E-01   -0.2243524030E-04   -0.1990207039E-01    0.2181158026E+00
400    0.3465256377E+00    0.1210375526E-03   -0.4264564722E-04    0.1210375526E-03    0.1743861571E+00   -0.3049641702E-01   -0.4264564722E-04   -0.3049641702E-01    0.2283958232E+00
460    0.3783454252E+00    0.1768824304E-03   -0.5431996140E-04    0.1768824304E-03    0.1974258807E+00   -0.3706827530E-01   -0.5431996140E-04   -0.3706827530E-01    0.2330377721E+00
500    0.3969305827E+00    0.2171744299E-03   -0.6154138471E-04    0.2171744299E-03    0.2119468443E+00   -0.4136309846E-01   -0.6154138471E-04   -0.4136309846E-01    0.2357349415E+00
600    0.4344344119E+00    0.3197540252E-03   -0.7666445445E-04    0.3197540252E-03    0.2443028744E+00   -0.5127125775E-01   -0.7666445445E-04   -0.5127125775E-01    0.2412506280E+00
